from	to	weight
SF3A1	PRPF38A	1
SF3A1	SRSF1	1
SF3A1	PRPF18	1
SF3A1	PABPN1	1
SEC14L3	RPS11	1
EIF3D	CCT3	1
EIF3D	RPLP2	1
EIF3D	RPS3	1
EIF3D	PSMC2	1
EIF3D	RPL7	1
EIF3D	EIF3G	1
EIF3D	RPL11	1
EIF3D	CCT4	1
EIF3D	RPL3	1
EIF3D	RPL27	1
EIF3D	RPL7A	1
EIF3D	EIF3F	1
EIF3D	EIF3B	1
EIF3D	RPL31	1
EIF3D	RPL24	1
EIF3D	PSMD7	1
PSMC4	EIF3D	1
EIF3D	RPL4	1
EIF3D	RPL30	1
EIF3D	RPS24	1
EIF3D	RPS27A	1
EIF3D	RPL35	1
EIF3D	RPS15A	1
EIF3D	RPS6	1
EIF3D	RPS13	1
EIF3D	RPL36	1
EIF3D	RPL38	1
EIF3D	RPS9	1
EIF3D	CCT7	1
EIF3D	CCT6A	1
EIF3D	RPL37A	1
EIF3D	RPL35A	1
EIF3D	EIF3A	1
EIF3D	EFTUD2	1
EIF3D	EIF4A3	1
EIF3D	RPL10A	1
EIF3D	RPL5	1
EIF3D	PSMC1	1
EIF3D	RPS20	1
EIF3D	RPLP0	1
EIF3D	RPL14	1
EIF3D	RPL12	1
EIF3D	RPS8	1
EIF3D	EEF2	1
EIF3D	RPL18	1
EIF3D	RPL19	1
EIF3D	EIF5B	1
EIF3D	RPL37	1
EIF3D	RPS19	1
EIF3D	RPS5	1
EIF3D	RPS11	1
PHF5A	SF3B5	1
PHF5A	HNRNPM	1
PHF5A	PRPF3	1
PHF5A	SRSF3	1
PHF5A	PRPF8	1
PHF5A	PRPF19	1
PHF5A	SF3B4	1
PHF5A	SF3B3	1
PHF5A	SF3B2	1
PHF5A	DDX46	1
PHF5A	U2AF2	1
PHF5A	POLR2D	1
PHF5A	NUDT21	1
PHF5A	ALYREF	1
PHF5A	PRPF31	1
PHF5A	TFIP11	1
PHF5A	LSM4	1
PHF5A	RBM17	1
PHF5A	SFPQ	1
PHF5A	CDC5L	1
PHF5A	PAPOLA	1
PHF5A	USP39	1
PHF5A	EFTUD2	1
PHF5A	POLR2I	1
PHF5A	CDC40	1
PHF5A	EIF4A3	1
PHF5A	LSM6	1
PHF5A	NHP2L1	1
PHF5A	POLR2F	1
PHF5A	SNRNP200	1
AQR	PHF5A	1
PHF5A	NEDD8	1
PHF5A	SNRNP27	1
PHF5A	SF3A2	1
PHF5A	EEF2	1
PHF5A	SNRPD1	1
PHF5A	HNRNPU	1
PHF5A	XAB2	1
SF3A1	PHF5A	1
PHF5A	EIF5B	1
PHF5A	PRPF38A	1
PHF5A	SRSF1	1
PHF5A	PABPN1	1
PAPOLA	HNRNPM	1
PAPOLA	PRPF8	1
PAPOLA	SF3B4	1
PAPOLA	EXOSC10	1
PAPOLA	SF3B2	1
PAPOLA	DDX46	1
PHF5A	PAPOLA	1
PAPOLA	PRPF31	1
PAPOLA	CDC5L	1
PAPOLA	USP39	1
PAPOLA	EFTUD2	1
PAPOLA	EIF4A3	1
PAPOLA	LSM6	1
PAPOLA	SNRNP200	1
PAPOLA	SF3A2	1
PAPOLA	XAB2	1
SF3A1	PAPOLA	1
PAPOLA	SRSF1	1
PAPOLA	SF3B5	1
PAPOLA	PRPF3	1
PAPOLA	SRSF3	1
PAPOLA	PRPF19	1
PAPOLA	SF3B3	1
PAPOLA	U2AF2	1
PAPOLA	POLR2D	1
PAPOLA	NUDT21	1
PAPOLA	ALYREF	1
PAPOLA	TFIP11	1
PAPOLA	LSM4	1
PAPOLA	RBM17	1
PAPOLA	POLR2I	1
PAPOLA	CDC40	1
PAPOLA	NHP2L1	1
PAPOLA	POLR2F	1
AQR	PAPOLA	1
PAPOLA	SNRNP27	1
PAPOLA	SNRPD1	1
PAPOLA	HNRNPU	1
PAPOLA	PRPF38A	1
PAPOLA	PABPN1	1
PSMA3	RPLP2	1
PSMA3	RPS3	1
PSMA3	PSMC2	1
PSMA3	ERH	1
PSMA3	PSMD11	1
PSMA3	RPL3	1
PSMA3	RPL27	1
PSMA3	CCT8	1
PSMA3	RPL31	1
PSMA3	PSMA6	1
PSMC4	PSMA3	1
PSMA3	RPL4	1
PSMA3	RAN	1
PSMA3	RPS13	1
PSMA3	CCT7	1
PSMA3	CCT6A	1
PSMA3	PSMA1	1
PSMA3	RPL5	1
PSMA3	VCP	1
PSMA3	RPLP0	1
PSMA3	RPL14	1
PSMA3	RPS8	1
PSMA3	PSMA2	1
PSMA3	CCT3	1
PSMA3	RPN2	1
PSMA3	ETF1	1
PSMA3	PSMB2	1
PSMA3	EIF3G	1
PSMA3	RPL11	1
PSMA3	CCT4	1
PSMA3	PSMD1	1
PSMA3	PSMB3	1
PSMA3	EIF3B	1
PSMA3	PSMD7	1
PSMA3	RPL30	1
PSMA3	RPS27A	1
PSMA3	RPS9	1
PSMA3	PFDN2	1
PSMA3	RPL35A	1
PSMA3	RUVBL1	1
PSMA3	PPP2R1A	1
PSMA3	PSMC1	1
PSMA3	NEDD8	1
PSMA3	HSPA9	1
PSMA3	RPS20	1
PSMA3	RPL12	1
PSMA3	EEF2	1
PSMA3	RPL19	1
PSMA3	KPNB1	1
PSMA3	SHFM1	1
PABPN1	HNRNPM	1
PABPN1	PRPF8	1
PABPN1	ERH	1
PABPN1	SF3B4	1
PABPN1	EXOSC10	1
PABPN1	SF3B2	1
PABPN1	DDX46	1
PHF5A	PABPN1	1
PABPN1	PRPF31	1
PABPN1	CDC5L	1
PAPOLA	PABPN1	1
PABPN1	USP39	1
PABPN1	EFTUD2	1
PABPN1	EIF4A3	1
PABPN1	LSM6	1
PABPN1	SNRNP200	1
PABPN1	SF3A2	1
PABPN1	XAB2	1
SF3A1	PABPN1	1
PABPN1	SRSF1	1
PABPN1	SF3B5	1
PABPN1	PRPF3	1
PABPN1	SRSF3	1
PABPN1	PRPF19	1
PABPN1	SF3B3	1
PABPN1	NXF1	1
PABPN1	U2AF2	1
PABPN1	POLR2D	1
PABPN1	NUDT21	1
PABPN1	ALYREF	1
PABPN1	TFIP11	1
PABPN1	LSM4	1
PABPN1	RBM17	1
PABPN1	POLR2I	1
PABPN1	CDC40	1
PABPN1	NHP2L1	1
PABPN1	POLR2F	1
AQR	PABPN1	1
PABPN1	SNRNP27	1
PABPN1	SNRPD1	1
PABPN1	HNRNPU	1
PABPN1	PRPF38A	1
SLC32A1	SLC18A3	1
SLC32A1	CHAT	1
SLC32A1	GABRA1	1
SLC32A1	SLC6A7	1
SLC32A1	SLC17A6	1
PSMD7	PSMC2	1
PSMD7	PSMD11	1
PSMD7	PSMA6	1
PSMC4	PSMD7	1
EIF3D	PSMD7	1
PSMD7	COPS4	1
PSMD7	PSMA1	1
PSMD7	VCP	1
PSMD7	CLEC3A	1
PSMD7	PSMA2	1
PSMA3	PSMD7	1
PSMD7	PSMB2	1
PSMD7	EIF3G	1
PSMD7	PSMD1	1
PSMD7	PSMB3	1
PSMD7	EIF3B	1
PSMD7	KARS	1
PSMD7	RPS27A	1
PSMD7	EIF3A	1
PSMD7	PPP2R1A	1
PSMD7	PSMC1	1
PSMD7	NEDD8	1
PSMD7	SHFM1	1
SF3A2	SF3B5	1
SF3A2	HNRNPM	1
SF3A2	PRPF3	1
SF3A2	SRSF3	1
SF3A2	PRPF8	1
SF3A2	PRPF19	1
SF3A2	SF3B4	1
SF3A2	SF3B3	1
SF3A2	SF3B2	1
SF3A2	DDX46	1
SF3A2	U2AF2	1
SF3A2	POLR2D	1
SF3A2	NUDT21	1
PHF5A	SF3A2	1
SF3A2	ALYREF	1
SF3A2	PRPF31	1
SF3A2	TFIP11	1
SF3A2	ZNF207	1
SF3A2	LSM4	1
SF3A2	RBM17	1
SF3A2	CDC5L	1
PAPOLA	SF3A2	1
SF3A2	USP39	1
SF3A2	EFTUD2	1
SF3A2	POLR2I	1
SF3A2	RNF113B	1
SF3A2	CDC40	1
SF3A2	EIF4A3	1
SF3A2	LSM6	1
SF3A2	NHP2L1	1
SF3A2	POLR2F	1
SF3A2	SNRNP200	1
AQR	SF3A2	1
SF3A2	SNRNP27	1
SF3A2	SNRPD1	1
SF3A2	HNRNPU	1
SF3A2	XAB2	1
SF3A1	SF3A2	1
SF3A2	PRPF38A	1
SF3A2	SRSF1	1
PABPN1	SF3A2	1
POLR2I	SF3B5	1
POLR2I	HNRNPM	1
POLR2I	PRPF3	1
POLR2I	SRSF3	1
POLR2I	PRPF8	1
POLR2I	PRPF19	1
POLR2I	SF3B4	1
POLR2I	SF3B3	1
POLR2I	SF3B2	1
POLR2I	SUPT5H	1
POLR2I	DDX46	1
POLR2I	WDR61	1
POLR2I	U2AF2	1
POLR2I	YY1	1
POLR2I	POLR2D	1
POLR2I	NUDT21	1
POLR2I	COPS8	1
POLR2I	DDB1	1
PHF5A	POLR2I	1
POLR2I	ALYREF	1
POLR2I	PRPF31	1
POLR2I	RAN	1
POLR2I	RPS27A	1
POLR2I	COPS6	1
POLR2I	HOXB1	1
POLR2I	TFIP11	1
POLR2I	TCEB3B	1
POLR2I	RPA1	1
POLR2I	LSM4	1
POLR2I	RBM17	1
POLR2I	CDC5L	1
PAPOLA	POLR2I	1
POLR2I	COPS4	1
POLR2I	USP39	1
POLR2I	EFTUD2	1
POLR2I	CDC40	1
POLR2I	EIF4A3	1
POLR2I	LSM6	1
POLR2I	NHP2L1	1
POLR2I	HIST1H2BA	1
POLR2I	POLR2F	1
POLR2I	SNRNP200	1
AQR	POLR2I	1
POLR2I	SNRNP27	1
SF3A2	POLR2I	1
POLR2I	RPA2	1
POLR2I	INTS9	1
POLR2I	COPS2	1
POLR2I	SNRPD1	1
POLR2I	HNRNPU	1
POLR2I	XAB2	1
SF3A1	POLR2I	1
POLR2I	PRPF38A	1
POLR2I	SRSF1	1
PABPN1	POLR2I	1
CRX	RD3	1
CRX	PRPF31	1
CRX	RHO	1
CRX	SAMD7	1
CRX	TPRX1	1
CRX	AIPL1	1
CRX	RAX2	1
CRX	RPE65	1
NPVF	NPFFR1	1
PRLH	NPVF	1
MOGAT3	PNLIPRP1	1
MOGAT3	PNLIP	1
PSMA2	CCT3	1
PSMA2	RPLP2	1
PSMA2	RPN2	1
PSMA2	RPS3	1
PSMA3	PSMA2	1
PSMA2	ETF1	1
PSMA2	PSMC2	1
PSMA2	PSMB2	1
PSMA2	EIF3G	1
PSMA2	CCT4	1
PSMA2	PSMD1	1
PSMA2	PSMD11	1
PSMA2	RPL27	1
PSMA2	PSMB3	1
PSMA2	CCT8	1
PSMA2	EIF3F	1
PSMA2	EIF3B	1
PSMA2	PSMA6	1
PSMD7	PSMA2	1
PSMC4	PSMA2	1
PSMA2	RPL4	1
PSMA2	RPS27A	1
PSMA2	RPS15A	1
PSMA2	HEATR1	1
PSMA2	CCT7	1
PSMA2	PFDN2	1
PSMA2	CCT6A	1
PSMA2	RPL35A	1
PSMA2	COPS4	1
PSMA2	PSMA1	1
PSMA2	RUVBL1	1
PSMA2	PPP2R1A	1
PSMA2	PSMC1	1
PSMA2	NEDD8	1
PSMA2	RPS20	1
PSMA2	VCP	1
PSMA2	RPL12	1
PSMA2	RPS8	1
PSMA2	EEF2	1
PSMA2	COPS2	1
PSMA2	KPNB1	1
PSMA2	SHFM1	1
RPL19	CCT3	1
RPL19	RPLP2	1
RPL19	RPN2	1
RPL19	RPS3	1
PSMA3	RPL19	1
RPL19	ETF1	1
RPL19	PSMC2	1
RPL19	RPL7	1
RPL19	ERH	1
RPL19	EIF3G	1
RPL19	RPL11	1
RPL19	CCT4	1
RPL19	EXOSC10	1
RPL19	WDR12	1
RPL19	RPL3	1
RPL19	RPL27	1
RPL19	CCT8	1
RPL19	RPL7A	1
RPL19	EIF3F	1
RPL19	EIF3B	1
RPL19	RPL31	1
RPL19	RPL24	1
PSMC4	RPL19	1
RPL19	RPL4	1
RPL19	RPL30	1
RPL19	RPS24	1
RPL19	RPS27A	1
RPL19	RPL35	1
RPL19	RPS15A	1
RPL19	RPS6	1
EIF3D	RPL19	1
RPL19	RPS13	1
RPL19	RPL36	1
RPL19	QARS	1
RPL19	RPL38	1
RPL19	RPS9	1
RPL19	GNL3	1
RPL19	CCT7	1
RPL19	RPA1	1
RPL19	RPL37A	1
RPL19	RPL35A	1
RPL19	EIF3A	1
RPL19	EFTUD2	1
RPL19	EIF4A3	1
RPL19	RPL10A	1
RPL19	NHP2L1	1
RPL19	RPL5	1
RPL19	PPP2R1A	1
RPL19	PSMC1	1
RPL19	NPSR1	1
RPL19	RPS20	1
RPL19	RPLP0	1
RPL19	RPL14	1
RPL19	RPL12	1
RPL19	RPS8	1
RPL19	EEF2	1
RPL19	RPL18	1
RPL19	NACA	1
RPL19	EIF5B	1
RPL19	RPL37	1
RPL19	RPS19	1
RPL19	RPS5	1
RPL19	RPS11	1
CCL1	TAS2R42	1
CCL1	TAS2R7	1
CCL1	GPR31	1
CCL1	PDYN	1
CCL1	HTR1A	1
CCL1	GRM4	1
CCL1	HRH3	1
CCL1	GALR3	1
CCL1	TAS1R2	1
CCL1	TAS2R13	1
CCL1	TAS2R40	1
CCL1	SSTR4	1
CCL1	TAS2R9	1
CCL1	NMS	1
CCL1	INSL5	1
CCL1	MTNR1B	1
CCL1	TAS2R16	1
CCL1	TAS2R41	1
CCL1	TAS2R50	1
CCL1	TAS2R8	1
CCL1	GALR1	1
CCL1	RXFP3	1
CCL1	GRM6	1
CCL1	DRD3	1
CCL1	HTR5A	1
CCL1	TAS2R43	1
CCL1	TAS2R39	1
CCL1	TAS2R46	1
CCL1	TAS2R60	1
CCL1	TAS2R1	1
GAR1	RPS3	1
GAR1	PRPF19	1
GAR1	EIF3G	1
GAR1	WDR12	1
GAR1	RPL7A	1
GAR1	RPS6	1
GAR1	HEATR1	1
GAR1	GNL3	1
GAR1	CDC40	1
GAR1	NHP2L1	1
GAR1	RPL12	1
GAR1	RPS8	1
GAR1	HNRNPU	1
GAR1	DDX18	1
GAR1	BRIX1	1
GAR1	TIMM10	1
GAR1	RPS19	1
GAR1	RPS11	1
PRPF19	SF3B5	1
PRPF19	HNRNPM	1
PRPF19	PRPF3	1
PRPF19	SRSF3	1
PRPF19	PRPF8	1
PRPF19	ERH	1
PRPF19	SF3B4	1
PRPF19	SF3B3	1
PRPF19	WDR12	1
PRPF19	SF3B2	1
PRPF19	DDX46	1
PRPF19	U2AF2	1
PRPF19	POLR2D	1
PRPF19	NUDT21	1
PRPF19	DDB1	1
PHF5A	PRPF19	1
PRPF19	ALYREF	1
PRPF19	PRPF31	1
PRPF19	RPS27A	1
PRPF19	TFIP11	1
PRPF19	RPA1	1
PRPF19	LSM4	1
PRPF19	TMEM132D	1
PRPF19	RBM17	1
PRPF19	CDC5L	1
PAPOLA	PRPF19	1
PRPF19	RUVBL1	1
PRPF19	USP39	1
PRPF19	EFTUD2	1
POLR2I	PRPF19	1
PRPF19	RNF113B	1
PRPF19	CDC40	1
PRPF19	EIF4A3	1
PRPF19	LSM6	1
PRPF19	NHP2L1	1
PRPF19	POLR2F	1
PRPF19	SNRNP200	1
AQR	PRPF19	1
PRPF19	SNRNP27	1
SF3A2	PRPF19	1
PRPF19	EEF2	1
PRPF19	RPA2	1
PRPF19	SNRPD1	1
PRPF19	HNRNPU	1
PRPF19	XAB2	1
SF3A1	PRPF19	1
GAR1	PRPF19	1
PRPF19	PRPF38A	1
PRPF19	SRSF1	1
PABPN1	PRPF19	1
FGF6	FGF3	1
FGF6	INS	1
FGF6	RPS27A	1
FGF4	FGF6	1
IL26	IL17A	1
IL26	IL17F	1
IL26	IL22	1
AICDA	EXOSC10	1
AICDA	SUPT5H	1
MEP1A	MEP1B	1
MEP1A	CDX2	1
SLC32A1	SLC6A7	1
GRM6	TAS2R42	1
GRM6	GPR31	1
GRM6	PDYN	1
GRM6	HTR1A	1
GRM6	TAS2R40	1
GRM6	SSTR4	1
GRM6	NMS	1
GRM6	INSL5	1
GRM6	MTNR1B	1
GRM6	TAS2R50	1
GRM6	RXFP3	1
CCL1	GRM6	1
GRM6	TAS2R39	1
GRM6	TRPM1	1
GRM6	GPRC6A	1
GRM6	TAS2R1	1
GRM6	TAS2R7	1
GRM6	GRM4	1
GRM6	HRH3	1
GRM6	GALR3	1
GRM6	TAS1R2	1
GRM6	GRM5	1
GRM6	TAS2R13	1
GRM6	TAS2R9	1
GRM6	TAS2R16	1
GRM6	TAS2R41	1
GRM6	TAS2R8	1
GRM6	GALR1	1
GRM6	DRD3	1
GRM6	HTR5A	1
GRM6	TAS2R43	1
GRM6	TAS2R46	1
GRM6	TAS2R60	1
IL12B	IL13	1
CLCA1	ZG16	1
CLCA1	RETNLB	1
CLCA1	SI	1
CLCA1	IL13	1
CLCA1	GUCA2A	1
RPN2	RPLP2	1
RPN2	RPS3	1
PSMA3	RPN2	1
RPN2	RPL7	1
RPN2	PSMB2	1
RPN2	RPL11	1
RPN2	PSMD11	1
RPN2	RPL3	1
RPN2	RPL27	1
RPN2	PSMB3	1
RPN2	RPL7A	1
RPN2	RPL31	1
RPN2	RPL24	1
RPN2	PSMA6	1
RPN2	RPL4	1
RPN2	RPL30	1
RPN2	RPS24	1
RPN2	RPS27A	1
RPN2	RPL35	1
RPN2	RPS15A	1
RPN2	RPS6	1
RPN2	RPS13	1
RPN2	RPL36	1
RPN2	RPL38	1
RPN2	RPS9	1
RPN2	RPL37A	1
RPN2	RPL35A	1
RPN2	PSMA1	1
RPN2	RPL10A	1
RPN2	RPL5	1
RPN2	RPS20	1
RPN2	RPLP0	1
RPN2	RPL14	1
RPN2	RPL12	1
RPN2	RPS8	1
RPN2	RPL18	1
RPL19	RPN2	1
RPN2	RPL37	1
PSMA2	RPN2	1
RPN2	RPS19	1
RPN2	RPS5	1
RPN2	RPS11	1
PRLH	PRLHR	1
TAS2R8	TAS2R42	1
TAS2R8	INSL5	1
TAS2R8	MTNR1B	1
TAS2R8	TAS2R16	1
TAS2R8	TAS2R41	1
TAS2R8	TAS2R50	1
TAS2R8	TAS2R7	1
TAS2R8	GALR1	1
TAS2R8	RXFP3	1
TAS2R8	GPR31	1
GRM6	TAS2R8	1
TAS2R8	PDYN	1
CCL1	TAS2R8	1
TAS2R8	HTR1A	1
TAS2R8	DRD3	1
TAS2R8	GRM4	1
TAS2R8	HTR5A	1
TAS2R8	TAS2R43	1
TAS2R8	HRH3	1
TAS2R8	TAS2R39	1
TAS2R8	GALR3	1
TAS2R8	TAS1R2	1
TAS2R8	TAS2R13	1
TAS2R8	TAS2R46	1
TAS2R8	TAS2R40	1
TAS2R8	SSTR4	1
TAS2R8	TAS2R9	1
TAS2R8	TAS2R60	1
TAS2R8	NMS	1
TAS2R8	TAS2R1	1
IAPP	TAAR2	1
IAPP	SLC2A2	1
IAPP	TAAR6	1
IAPP	GCG	1
IAPP	TSHB	1
IAPP	HTR6	1
IAPP	PDX1	1
IAPP	MC2R	1
IAPP	GPR45	1
IAPP	NPSR1	1
IAPP	MC3R	1
IAPP	INS	1
IAPP	MC5R	1
IAPP	RXFP2	1
IAPP	GPR32	1
IAPP	TAAR5	1
IAPP	TAAR8	1
TAS2R7	TAS2R42	1
TAS2R7	INSL5	1
TAS2R7	MTNR1B	1
TAS2R7	TAS2R16	1
TAS2R7	TAS2R41	1
TAS2R7	TAS2R50	1
TAS2R8	TAS2R7	1
TAS2R7	GALR1	1
TAS2R7	RXFP3	1
TAS2R7	GPR31	1
GRM6	TAS2R7	1
TAS2R7	PDYN	1
CCL1	TAS2R7	1
TAS2R7	HTR1A	1
TAS2R7	DRD3	1
TAS2R7	GRM4	1
TAS2R7	HTR5A	1
TAS2R7	TAS2R43	1
TAS2R7	HRH3	1
TAS2R7	TAS2R39	1
TAS2R7	GALR3	1
TAS2R7	TAS1R2	1
TAS2R7	TAS2R13	1
TAS2R7	TAS2R46	1
TAS2R7	TAS2R40	1
TAS2R7	SSTR4	1
TAS2R7	TAS2R9	1
TAS2R7	TAS2R60	1
TAS2R7	NMS	1
TAS2R7	TAS2R1	1
TAS2R9	HTR5A	1
TAS2R9	TAS2R43	1
TAS2R9	TAS2R42	1
TAS2R9	HRH3	1
TAS2R9	TAS2R39	1
TAS2R9	INSL5	1
TAS2R9	GALR3	1
TAS2R9	MTNR1B	1
TAS2R9	TAS1R2	1
TAS2R9	TAS2R16	1
TAS2R9	TAS2R41	1
TAS2R9	TAS2R50	1
TAS2R8	TAS2R9	1
TAS2R7	TAS2R9	1
TAS2R9	GALR1	1
TAS2R9	RXFP3	1
TAS2R9	TAS2R13	1
TAS2R9	TAS2R46	1
TAS2R9	TAS2R40	1
TAS2R9	GPR31	1
GRM6	TAS2R9	1
TAS2R9	PDYN	1
TAS2R9	SSTR4	1
CCL1	TAS2R9	1
TAS2R9	HTR1A	1
TAS2R9	TAS2R60	1
TAS2R9	DRD3	1
TAS2R9	NMS	1
TAS2R9	GRM4	1
TAS2R9	TAS2R1	1
GHSR	NMS	1
GHSR	INS	1
GHSR	TRHR	1
GHSR	GPRC6A	1
GHSR	GCG	1
GHSR	GRM5	1
GHSR	NPSR1	1
GHSR	MC3R	1
GHSR	NPFFR1	1
GHSR	FFAR1	1
GHSR	UTS2R	1
GHSR	HCRTR2	1
GHSR	CCKAR	1
NEUROD4	VSX2	1
MC3R	TAAR2	1
MC3R	TAAR6	1
MC3R	TSHB	1
MC3R	GPR45	1
MC3R	RXFP2	1
IAPP	MC3R	1
MC3R	TAAR8	1
MC3R	GCG	1
MC3R	HTR6	1
MC3R	MC2R	1
MC3R	NPSR1	1
MC3R	MC5R	1
GHSR	MC3R	1
MC3R	GPR32	1
MC3R	TAAR5	1
SNRNP27	SF3B5	1
SNRNP27	HNRNPM	1
SNRNP27	PRPF3	1
SNRNP27	SRSF3	1
SNRNP27	PRPF8	1
PRPF19	SNRNP27	1
SNRNP27	SF3B4	1
SNRNP27	SF3B3	1
SNRNP27	SF3B2	1
SNRNP27	DDX46	1
SNRNP27	U2AF2	1
SNRNP27	POLR2D	1
SNRNP27	NUDT21	1
PHF5A	SNRNP27	1
SNRNP27	ALYREF	1
SNRNP27	PRPF31	1
SNRNP27	LSM4	1
SNRNP27	RBM17	1
SNRNP27	CDC5L	1
PAPOLA	SNRNP27	1
SNRNP27	USP39	1
SNRNP27	EFTUD2	1
POLR2I	SNRNP27	1
SNRNP27	CDC40	1
SNRNP27	EIF4A3	1
SNRNP27	LSM6	1
SNRNP27	NHP2L1	1
SNRNP27	POLR2F	1
SNRNP27	SNRNP200	1
AQR	SNRNP27	1
SF3A2	SNRNP27	1
SNRNP27	SNRPD1	1
SNRNP27	HNRNPU	1
SNRNP27	XAB2	1
SF3A1	SNRNP27	1
SNRNP27	PRPF38A	1
SNRNP27	SRSF1	1
PABPN1	SNRNP27	1
PIWIL1	DAZL	1
PIWIL1	DDX4	1
PIWIL1	NANOS2	1
PIWIL1	ASZ1	1
PIWIL1	RNF17	1
SLC10A2	CYP7A1	1
SLC10A2	SLCO1B1	1
DEFB129	DEFB126	1
DEFB129	DEFB123	1
DEFB129	DEFB118	1
DEFB129	DEFB127	1
DEFB129	DEFA5	1
FFAR1	NPFFR1	1
FFAR1	INS	1
FFAR1	GALR1	1
FFAR1	GCG	1
FFAR1	TRHR	1
GHSR	FFAR1	1
FFAR1	UTS2R	1
FFAR1	HCRTR2	1
FFAR1	GPRC6A	1
FFAR1	GRM5	1
FFAR1	NPSR1	1
FFAR1	CCKAR	1
FFAR1	NMS	1
DDX49	RPS3	1
DDX49	PRPF8	1
DDX49	EXOSC10	1
DDX49	WDR12	1
DDX49	PRPF31	1
DDX49	SUPV3L1	1
DDX49	RPS15A	1
DDX49	RPS13	1
DDX49	GNL3	1
DDX49	EFTUD2	1
DDX49	EIF4A3	1
DDX49	LSM6	1
DDX49	SNRNP200	1
DDX49	FTSJ3	1
DDX49	RPS8	1
DDX49	XAB2	1
DDX49	SDAD1	1
DDX49	BRIX1	1
DDX49	RPS19	1
DDX49	RPS5	1
DDX49	PRPF3	1
DDX49	U2AF2	1
DDX49	RPS24	1
DDX49	RPS27A	1
DDX49	RPS6	1
DDX49	RPS9	1
