gene	condition	intervention	replicate	gene_conditions	gamma	beta	o	l	readout
POLR1B	C0	S4	R0	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8415308242062717
POLR1B	C0	S4	R1	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.8979398101621269
POLR1B	C0	S4	R2	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.7772197001148786
POLR1B	C0	S4	R3	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.7384009572178014
POLR1B	C0	S4	R4	POLR1B-C0	-0.8375654636336758	-0.052817175226345575	1.0	0.0	-0.6718250982067052
POLR1B	C1	S5	R0	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-1.0845119593981067
POLR1B	C1	S5	R1	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-1.0892737063922517
POLR1B	C1	S5	R2	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.995308912143938
POLR1B	C1	S5	R3	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9288586189045098
POLR1B	C1	S5	R4	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.8572454337376704
POLR1B	C1	S6	R0	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9132988311251323
POLR1B	C1	S6	R1	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-1.1470824474316932
POLR1B	C1	S6	R2	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.97548272711213
POLR1B	C1	S6	R3	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.8620648615885682
POLR1B	C1	S6	R4	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9218528523128545
POLR1B	C1	S7	R0	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.8686612078180904
POLR1B	C1	S7	R1	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9670951401103288
POLR1B	C1	S7	R2	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9649381327422926
POLR1B	C1	S7	R3	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9262061867504644
POLR1B	C1	S7	R4	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9038571611284673
POLR1B	C1	S8	R0	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9250323538366159
POLR1B	C1	S8	R1	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.932961461268547
POLR1B	C1	S8	R2	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-1.011928554478196
POLR1B	C1	S8	R3	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.907105947217201
POLR1B	C1	S8	R4	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9326801987501492
POLR1B	C1	S9	R0	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.8319139350581009
POLR1B	C1	S9	R1	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.8249705378591421
POLR1B	C1	S9	R2	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9263466841008985
POLR1B	C1	S9	R3	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-0.9823908208583043
POLR1B	C1	S9	R4	POLR1B-C1	-0.8375654636336758	-0.10729686221561706	1.0	0.0	-1.0087353665947152
PSMB1	C0	S10	R0	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.04488594756315732
PSMB1	C0	S10	R1	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.010270518991601973
PSMB1	C0	S10	R2	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	-0.03184885540036153
PSMB1	C0	S10	R3	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.006896197840170726
PSMB1	C0	S10	R4	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	-0.0594635722380669
PSMB1	C0	S11	R0	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.07233971556396793
PSMB1	C0	S11	R1	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	-0.04217634432185379
PSMB1	C0	S11	R2	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.12498728263729593
PSMB1	C0	S11	R3	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.04288567633582603
PSMB1	C0	S11	R4	PSMB1-C0	-0.06117564136500754	0.08654076293246786	0.1	0.0	0.06189436448045273
PSMB1	C0	S12	R0	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.08412606300664387
PSMB1	C0	S12	R1	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.04230336487332713
PSMB1	C0	S12	R2	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.0994207666770878
PSMB1	C0	S12	R3	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.07000493861333315
PSMB1	C0	S12	R4	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.0012567290329018876
PSMB1	C0	S13	R0	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.028626576236796174
PSMB1	C0	S13	R1	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.11194661045721527
PSMB1	C0	S13	R2	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.056881060771689494
PSMB1	C0	S13	R3	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.10998118632596367
PSMB1	C0	S13	R4	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.060586472515738315
PSMB1	C0	S14	R0	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.060419719433871054
PSMB1	C0	S14	R1	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.10586321955628286
PSMB1	C0	S14	R2	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.021495570640855208
PSMB1	C0	S14	R3	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	-0.13621211390286916
PSMB1	C0	S14	R4	PSMB1-C0	-0.06117564136500754	0.08654076293246786	1.0	0.0	0.13750689239102673
PSMB1	C1	S15	R0	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.25043945725935307
PSMB1	C1	S15	R1	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.2937912066406137
PSMB1	C1	S15	R2	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.3688456729699518
PSMB1	C1	S15	R3	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.16395391803715817
PSMB1	C1	S15	R4	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.09461933612756235
PSMB1	C1	S16	R0	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.47712769749771106
PSMB1	C1	S16	R1	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.1677131080077538
PSMB1	C1	S16	R2	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.1285644357381452
PSMB1	C1	S16	R3	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.2575283413955883
PSMB1	C1	S16	R4	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.41125631428655446
PSMB1	C1	S17	R0	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.2049949792986337
PSMB1	C1	S17	R1	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.30942154126085086
PSMB1	C1	S17	R2	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.3517215738323616
PSMB1	C1	S17	R3	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.414335324619732
PSMB1	C1	S17	R4	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.2362757614554143
PSMB1	C1	S18	R0	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.21204882446110107
PSMB1	C1	S18	R1	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.353682584021015
PSMB1	C1	S18	R2	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.23927187734569877
PSMB1	C1	S18	R3	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.4057636500153501
PSMB1	C1	S18	R4	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.21114340786590136
PSMB1	C1	S19	R0	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.2866727812106213
PSMB1	C1	S19	R1	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.30998648824377073
PSMB1	C1	S19	R2	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.3015040983059504
PSMB1	C1	S19	R3	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.20444089535244903
PSMB1	C1	S19	R4	PSMB1-C1	-0.06117564136500754	-0.23015386968802828	1.0	0.0	-0.21628834706653502
