sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
POLR3K_sg655	POLR3K	15337/15232	14763/14602	15285	14683	-0.057995	9281.5	49498	2.7071	0.0033933	0.99661	0.0067867	0.26875	False
PSMC1_sg709	PSMC1	13033/12981	12418/12499	13007	12459	-0.062168	2303.3	42122	2.6732	0.0037565	0.99624	0.0075131	0.28069	False
POLR3K_sg657	POLR3K	16583/16631	15957/16021	16607	15989	-0.05475	1593.2	53780	2.6669	0.0038276	0.99617	0.0076553	0.28069	False
FOXN1_sg370	FOXN1	15841/16147	15319/15482	15994	15400	-0.054533	30061	51793	2.607	0.0045671	0.99543	0.0091343	0.32296	False
POLR3K_sg658	POLR3K	18788/18614	18197/17929	18701	18063	-0.050091	25445	60561	2.5934	0.0047523	0.99525	0.0095045	0.32447	False
PSMB1_sg700	PSMB1	6806.6/6577	6324.6/6299.7	6691.8	6312.1	-0.084262	13333	21671	2.5793	0.0049494	0.99505	0.0098988	0.32666	False
MCOLN3_sg533	MCOLN3	14211/13853	14546/14607	14032	14576	0.054898	33111	45441	2.5533	0.99466	0.0053354	0.010671	0.34078	True
PRDM13_sg673	PRDM13	1370.1/1299.6	1154.9/1189.6	1334.9	1172.2	-0.1873	1545.8	4322.8	2.4737	0.0066857	0.99331	0.013371	0.41368	False
POLR1B_sg640	POLR1B	13911/13943	14429/14465	13927	14447	0.052894	581.28	45100	2.4491	0.99284	0.0071605	0.014321	0.42963	True
CAV2_sg117	CAV2	13278/12804	12678/11888	13041	12283	-0.086352	2.1216e+05	98874	2.4097	0.0079818	0.99202	0.015964	0.46482	False
PSMC3_sg716	PSMC3	12184/12316	11977/11462	12250	11720	-0.063871	70584	49975	2.3733	0.008815	0.99119	0.01763	0.49245	False
PSMC5_sg725	PSMC5	7641.9/7626.6	7412.9/7111.3	7634.3	7262.1	-0.07209	22803	24723	2.3669	0.0089701	0.99103	0.01794	0.49245	False
PSMC3_sg717	PSMC3	13436/13483	13091/12847	13460	12969	-0.053565	15345	43587	2.3499	0.0093892	0.99061	0.018778	0.49245	False
PSMC5_sg723	PSMC5	11344/11128	10817/10760	11236	10788	-0.058666	12516	36387	2.3475	0.0094511	0.99055	0.018902	0.49245	False
TIAM1_sg854	TIAM1	11412/11345	11833/11807	11378	11820	0.054938	1313.7	36848	2.301	0.9893	0.010697	0.021394	0.54307	True
PSMC3_sg712	PSMC3	13568/13463	13066/13029	13516	13048	-0.05087	3102.3	43769	2.2384	0.012596	0.9874	0.025192	0.61068	False
TCL1_sg837	TCL1	13327/13520	13878/13901	13423	13890	0.049271	9472.8	43469	2.2369	0.98735	0.012645	0.025291	0.61068	True
POLR3K_sg651	POLR3K	6643.1/6495	6369.9/6132.5	6569	6251.2	-0.071528	19566	21273	2.1789	0.01467	0.98533	0.02934	0.69159	False
SLC22A16_sg792	SLC22A16	10786/10504	10957/11129	10645	11043	0.052954	27153	34473	2.1437	0.98397	0.016027	0.032053	0.73797	True
PSMC1_sg703	PSMC1	11970/11949	11594/11491	11960	11542	-0.051251	2782.9	38730	2.1211	0.016955	0.98304	0.03391	0.75792	False
PSMC3_sg715	PSMC3	12404/12481	12221/11786	12442	12003	-0.051851	48859	43149	2.1148	0.017225	0.98277	0.034451	0.75792	False
CINP_sg186	CINP	9314.4/9285.9	8849/9036.1	9300.2	8942.5	-0.056572	8955.1	30117	2.061	0.019654	0.98035	0.039308	0.84597	False
TCL1_sg835	TCL1	20005/20585	20908/20775	20295	20841	0.038323	88649	73364	2.0171	0.97816	0.021841	0.043683	0.91074	True
FOXN1_sg366	FOXN1	21871/21637	22030/22621	21754	22325	0.037395	1.0081e+05	80568	2.0126	0.97792	0.022078	0.044157	0.91074	True
ESPL1_sg306	ESPL1	11012/11035	11286/11515	11023	11400	0.048473	13245	35698	1.9938	0.97691	0.023088	0.046175	0.93293	True
LAMP1_sg512	LAMP1	11561/11433	11799/11950	11497	11875	0.046567	9849.8	37233	1.9548	0.9747	0.025302	0.050604	0.99897	True
CDC45_sg131	CDC45	12474/12583	13051/12785	12528	12918	0.044205	20685	40571	1.9355	0.97353	0.026466	0.052933	0.99897	True
PSMB1_sg697	PSMB1	8793.4/8473.5	8453.9/8008.1	8633.5	8231	-0.068859	75254	43724	1.9246	0.02714	0.97286	0.054281	0.99897	False
POLR2C_sg649	POLR2C	11660/11538	11128/11341	11599	11235	-0.046021	14970	37561	1.8791	0.030114	0.96989	0.060228	0.99897	False
ESPL1_sg302	ESPL1	8987.3/8876.8	9289.3/9205.4	8932	9247.4	0.050048	4815.8	28925	1.8541	0.96814	0.031864	0.063727	0.99897	True
ACSM3_sg002	ACSM3	15613/15165	15743/15870	15389	15806	0.038603	54132	51268	1.8432	0.96735	0.032647	0.065293	0.99897	True
GNAI3_sg385	GNAI3	18043/17888	17527/17554	17965	17540	-0.03452	6169.6	58178	1.7611	0.039107	0.96089	0.078215	0.99897	False
NonTarg_53	Control	18993/18989	18399/18709	18991	18554	-0.03356	23978	61499	1.7609	0.039126	0.96087	0.078252	0.99897	False
PPY_sg662	PPY	11628/11801	11938/12174	11715	12056	0.041432	21475	37937	1.7525	0.96015	0.039845	0.079691	0.99897	True
SEL1L2_sg779	SEL1L2	16436/16449	17044/16650	16443	16847	0.035038	38856	53247	1.7519	0.9601	0.0399	0.079799	0.99897	True
POLR1B_sg633	POLR1B	11891/11893	12307/12165	11892	12236	0.041075	5035.5	38511	1.7503	0.95996	0.040037	0.080075	0.99897	True
ENTPD4_sg280	ENTPD4	13536/13150	12946/13014	13343	12980	-0.03975	38397	43210	1.7446	0.04053	0.95947	0.081059	0.99897	False
EFNA2_sg268	EFNA2	38902/38758	38174/38249	38830	38212	-0.023143	6604.6	1.2574e+05	1.7426	0.040704	0.9593	0.081407	0.99897	False
MYO15_sg580	MYO15	10806/10626	11148/10930	10716	11039	0.042834	19900	34702	1.7337	0.95851	0.041486	0.082971	0.99897	True
PSMC3_sg719	PSMC3	12563/12442	12268/12040	12502	12154	-0.040731	16697	40487	1.7298	0.041831	0.95817	0.083663	0.99897	False
MYO15_sg575	MYO15	11571/11588	11903/11919	11579	11911	0.040733	125.53	37499	1.7125	0.9566	0.043401	0.086803	0.99897	True
TH_sg845	TH	15927/16086	15516/15726	16007	15621	-0.035195	17310	51836	1.6945	0.045086	0.95491	0.090171	0.99897	False
DUSP3_sg244	DUSP3	13143/13136	13596/13374	13140	13485	0.037455	12394	42551	1.6755	0.95308	0.046918	0.093836	0.99897	True
SEL1L2_sg778	SEL1L2	44.109/36.567	12.093/30.586	40.338	21.34	-0.88786	99.725	130.63	1.6642	0.048033	0.95197	0.096066	0.99897	False
POLR3K_sg654	POLR3K	11208/11482	11207/10759	11345	10983	-0.046811	68955	47478	1.6624	0.048213	0.95179	0.096426	0.99897	False
LAMP1_sg518	LAMP1	17703/17415	17209/17135	17559	17172	-0.032113	22116	56861	1.621	0.052506	0.94749	0.10501	0.99897	False
MCM6_sg525	MCM6	20170/20692	19862/20127	20431	19994	-0.031164	85664	72663	1.6198	0.052643	0.94736	0.10529	0.99897	False
ARHGEF4_sg053	ARHGEF4	14387/14390	14769/14703	14389	14736	0.034439	1097.3	46596	1.6105	0.94635	0.053649	0.1073	0.99897	True
DECR2_sg201	DECR2	12840/12898	12356/12726	12869	12541	-0.037224	35118	41674	1.6058	0.054155	0.94584	0.10831	0.99897	False
NonTarg_13	Control	21083/21104	21629/21392	21094	21510	0.028233	14180	68309	1.595	0.94465	0.055354	0.11071	0.99897	True
SLC22A16_sg798	SLC22A16	21312/21134	21806/21473	21223	21640	0.02802	35753	68729	1.5877	0.94383	0.056173	0.11235	0.99897	True
B4GALT6_sg073	B4GALT6	13531/13462	13854/13799	13496	13827	0.03486	1934.1	43707	1.579	0.94283	0.057167	0.11433	0.99897	True
ATG5_sg061	ATG5	20866/20543	20973/21251	20705	21112	0.028115	45237	67049	1.5736	0.94221	0.057788	0.11558	0.99897	True
NonTarg_42	Control	10602/10839	10952/11076	10721	11014	0.038913	17924	34718	1.5732	0.94216	0.05784	0.11568	0.99897	True
IL17F_sg483	IL17F	9316.3/9575.5	9082.8/9260	9445.9	9171.4	-0.042542	24652	30589	1.5695	0.058266	0.94173	0.11653	0.99897	False
MCM6_sg529	MCM6	12498/12605	12162/12309	12551	12236	-0.036728	8215.5	40645	1.565	0.058789	0.94121	0.11758	0.99897	False
FEZF2_sg349	FEZF2	15035/15000	14666/14680	15018	14673	-0.033483	354.72	48632	1.5624	0.0591	0.9409	0.1182	0.99897	False
FMO3_sg356	FMO3	17148/17106	16605/16915	17127	16760	-0.031245	24574	55463	1.5582	0.059599	0.9404	0.1192	0.99897	False
B4GALT6_sg080	B4GALT6	9220.7/9415.4	8942.7/9155.1	9318	9048.9	-0.042279	20760	30175	1.5493	0.060649	0.93935	0.1213	0.99897	False
POLR3K_sg652	POLR3K	15068/15251	15019/14617	15160	14818	-0.032861	48873	49092	1.5409	0.061667	0.93833	0.12333	0.99897	False
NonTarg_20	Control	6583.3/6715.4	6369.9/6476.6	6649.4	6423.3	-0.049897	7208.1	21533	1.5406	0.061702	0.9383	0.1234	0.99897	False
FEZF2_sg345	FEZF2	5776.5/5790.4	6058.5/5920.6	5783.4	5989.6	0.050522	4802.1	18729	1.5064	0.93402	0.065983	0.13197	0.99897	True
SEL1L2_sg771	SEL1L2	25607/25751	25429/25062	25679	25246	-0.02455	38834	83158	1.5026	0.066475	0.93352	0.13295	0.99897	False
ANXA7_sg023	ANXA7	12084/12128	12576/12229	12106	12402	0.034863	30506	39204	1.4956	0.93262	0.067375	0.13475	0.99897	True
SALL4_sg756	SALL4	15745/15860	16272/16001	15803	16136	0.030162	21650	51175	1.4759	0.93002	0.069982	0.13996	0.99897	True
CINP_sg182	CINP	14452/14405	14767/14727	14429	14747	0.031508	955.05	46726	1.4739	0.92975	0.070248	0.1405	0.99897	True
ENTPD4_sg273	ENTPD4	9821.7/9674.3	9548.3/9430.4	9748	9489.4	-0.038791	8906.1	31568	1.4557	0.072741	0.92726	0.14548	0.99897	False
TRRAP_sg874	TRRAP	21467/21539	20933/21315	21503	21124	-0.025624	37896	69633	1.4346	0.075705	0.9243	0.15141	0.99897	False
ANAPC4_sg019	ANAPC4	7952.6/8002.1	8229.2/8186.2	7977.3	8207.7	0.041064	1076.9	25834	1.4332	0.9241	0.075902	0.1518	0.99897	True
MYF6_sg564	MYF6	9482.6/9577.5	9382/9194.5	9530	9288.3	-0.03707	11048	30862	1.3763	0.084369	0.91563	0.16874	0.99897	False
PRPH2_sg681	PRPH2	22948/22527	23131/23088	22737	23109	0.023413	44748	73632	1.371	0.91481	0.085186	0.17037	0.99897	True
SULT1E1_sg813	SULT1E1	19422/19729	19945/19895	19576	19920	0.025183	24217	63393	1.3691	0.91452	0.085482	0.17096	0.99897	True
POLR1B_sg632	POLR1B	13721/13705	13453/13399	13713	13426	-0.03046	804.17	44407	1.3596	0.086977	0.91302	0.17395	0.99897	False
APOH_sg031	APOH	14341/14314	14836/14402	14328	14619	0.029023	47304	46700	1.3474	0.91107	0.088933	0.17787	0.99897	True
ACSM3_sg004	ACSM3	9161/9082.3	9330.7/9374.7	9121.6	9352.7	0.036081	2030.6	29539	1.3442	0.91056	0.089443	0.17889	0.99897	True
GRM6_sg440	GRM6	10686/10615	10834/10966	10651	10900	0.033396	5629.8	34491	1.3432	0.91039	0.089609	0.17922	0.99897	True
DPEP1_sg221	DPEP1	7757.7/7658.2	8019.6/7820.3	7708	7919.9	0.039129	12409	24961	1.3415	0.91012	0.089878	0.17976	0.99897	True
NonTarg_22	Control	14937/14987	15214/15298	14962	15256	0.028047	2395.2	48452	1.3345	0.90897	0.091027	0.18205	0.99897	True
BCL11B_sg083	BCL11B	11917/11977	12350/12062	11947	12206	0.030931	21629	38689	1.3164	0.90598	0.094018	0.18804	0.99897	True
ENTPD4_sg275	ENTPD4	11705/11554	11960/11805	11629	11883	0.031073	11646	37660	1.3048	0.90402	0.095981	0.19196	0.99897	True
TIAM1_sg853	TIAM1	12356/12532	12189/12178	12444	12183	-0.030593	7799.7	40299	1.3008	0.096665	0.90333	0.19333	0.99897	False
MYF6_sg562	MYF6	13338/13148	13544/13480	13243	13512	0.028966	10089	42887	1.297	0.90269	0.097313	0.19463	0.99897	True
NonTarg_7	Control	9450.4/9203.9	9089.8/9115.8	9327.2	9102.8	-0.035123	15365	30205	1.2909	0.098364	0.90164	0.19673	0.99897	False
SHANK1_sg782	SHANK1	11796/11645	11490/11449	11721	11470	-0.031235	6164.7	37956	1.2886	0.098762	0.90124	0.19752	0.99897	False
INSRR_sg499	INSRR	10259/10621	10223/10184	10440	10203	-0.033093	33127	33809	1.2877	0.098921	0.90108	0.19784	0.99897	False
ULBP1_sg890	ULBP1	21125/21147	20705/20897	21136	20801	-0.023049	9341.1	68446	1.2805	0.10018	0.89982	0.20036	0.99897	False
PSMD4_sg737	PSMD4	12394/12437	12701/12641	12415	12671	0.029388	1347	40205	1.2743	0.89872	0.10128	0.20256	0.99897	True
CDC45_sg136	CDC45	8780.5/8912.3	9045.5/9078.7	8846.4	9062.1	0.03474	4620	28648	1.274	0.89866	0.10134	0.20267	0.99897	True
GCKR_sg374	GCKR	10913/10980	10646/10770	10947	10708	-0.031833	4941	35449	1.2689	0.10223	0.89777	0.20446	0.99897	False
EFNA2_sg262	EFNA2	11906/11945	12091/12259	11926	12175	0.029819	7420.7	38620	1.2674	0.8975	0.1025	0.205	0.99897	True
MYO15_sg577	MYO15	19397/19632	19090/19303	19515	19196	-0.023722	25234	63196	1.2661	0.10275	0.89725	0.20549	0.99897	False
FADS1_sg331	FADS1	18519/18382	18791/18728	18451	18759	0.023931	5737.4	59750	1.2626	0.89664	0.10336	0.20673	0.99897	True
NonTarg_66	Control	13230/13004	13358/13390	13117	13374	0.027987	13059	42477	1.2468	0.89376	0.10624	0.21248	0.99897	True
SUMO1_sg823	SUMO1	15834/15832	16332/15898	15833	16115	0.025471	47116	51274	1.2455	0.89353	0.10647	0.21293	0.99897	True
NonTarg_38	Control	14837/15328	14702/14880	15083	14791	-0.028175	68219	55302	1.2405	0.10739	0.89261	0.21479	0.99897	False
SLC22A16_sg795	SLC22A16	16085/15711	16312/16046	15898	16179	0.025279	52810	51926	1.2333	0.89127	0.10873	0.21745	0.99897	True
FMO3_sg354	FMO3	13336/13478	13134/13166	13407	13150	-0.02791	5338.7	43417	1.2329	0.10881	0.89119	0.21761	0.99897	False
LAMP1_sg511	LAMP1	10920/11047	11200/11231	10983	11215	0.030139	4280.2	35568	1.2295	0.89056	0.10944	0.21887	0.99897	True
MDFI_sg543	MDFI	11134/11113	11431/11283	11124	11357	0.029946	5562.7	36022	1.2293	0.89053	0.10947	0.21894	0.99897	True
ACSM3_sg009	ACSM3	12028/11843	11794/11598	11935	11696	-0.02927	18194	38651	1.2194	0.11135	0.88865	0.2227	0.99897	False
PSMD4_sg740	PSMD4	16426/16745	16228/16379	16586	16303	-0.024786	31220	53711	1.2191	0.11141	0.88859	0.22281	0.99897	False
F11_sg322	F11	15141/15178	14748/15031	15159	14890	-0.025895	20333	49091	1.2172	0.11176	0.88824	0.22353	0.99897	False
NRXN1_sg601	NRXN1	9227.1/8998.3	9020.3/8788.1	9112.7	8904.2	-0.033396	26564	29510	1.214	0.11238	0.88762	0.22475	0.99897	False
GNRHR_sg396	GNRHR	13549/13773	13399/13414	13661	13407	-0.027101	12581	44239	1.2088	0.11337	0.88663	0.22674	0.99897	False
FMO3_sg352	FMO3	12107/12401	12473/12510	12254	12491	0.027662	21935	39683	1.1909	0.88316	0.11684	0.23368	0.99897	True
NKX3-2_sg586	NKX3-2	15765/15426	15795/15923	15595	15859	0.024221	32729	50503	1.175	0.88	0.12	0.24	0.99897	True
NonTarg_18	Control	12013/12115	12001/11663	12064	11832	-0.028034	31156	39069	1.1747	0.12006	0.87994	0.24011	0.99897	False
NonTarg_57	Control	16455/16744	16201/16452	16599	16327	-0.023861	36578	53754	1.1744	0.12011	0.87989	0.24022	0.99897	False
IFNG_sg477	IFNG	16001/16169	15653/15984	16085	15818	-0.024114	34385	52089	1.1683	0.12135	0.87865	0.2427	0.99897	False
TRRAP_sg873	TRRAP	7656.7/7762	7584.2/7466.3	7709.3	7525.3	-0.034852	6249.8	24966	1.1647	0.12207	0.87793	0.24413	0.99897	False
MNAT1_sg559	MNAT1	13937/13844	13822/13465	13890	13643	-0.02588	34130	44982	1.1645	0.12212	0.87788	0.24423	0.99897	False
ANAPC4_sg020	ANAPC4	20859/21143	20623/20772	21001	20698	-0.020988	25750	68010	1.1631	0.12239	0.87761	0.24478	0.99897	False
ESPL1_sg309	ESPL1	13935/13708	13587/13565	13821	13576	-0.025803	13050	44758	1.1581	0.12341	0.87659	0.24681	0.99897	False
TH_sg844	TH	13120/12931	13415/13111	13025	13263	0.026073	32107	42181	1.1567	0.8763	0.1237	0.2474	0.99897	True
ARHGAP44_sg044	ARHGAP44	11649/11715	11725/12088	11682	11907	0.027491	34066	37830	1.1555	0.87607	0.12393	0.24787	0.99897	True
ARHGEF4_sg051	ARHGEF4	14558/14499	14718/14840	14529	14779	0.024651	4572.1	47049	1.1544	0.87583	0.12417	0.24834	0.99897	True
CDC123_sg123	CDC123	17789/17714	17831/18225	17751	18028	0.022299	40236	57486	1.1533	0.87561	0.12439	0.24878	0.99897	True
GRIA1_sg407	GRIA1	19233/18978	18563/19053	19105	18808	-0.022641	76353	66698	1.152	0.12467	0.87533	0.24934	0.99897	False
MNAT1_sg551	MNAT1	22555/22474	22793/22857	22514	22825	0.019777	2653.2	72909	1.151	0.87513	0.12487	0.24975	0.99897	True
ULBP1_sg888	ULBP1	8639/8612.9	8710.9/8925.7	8625.9	8818.3	0.031816	11709	27934	1.1509	0.87512	0.12488	0.24975	0.99897	True
NonTarg_21	Control	11737/11407	11884/11705	11572	11794	0.027501	35284	37474	1.1505	0.87503	0.12497	0.24993	0.99897	True
EPHA4_sg288	EPHA4	18513/18836	18496/18287	18674	18392	-0.022007	36916	60475	1.1496	0.12515	0.87485	0.2503	0.99897	False
DKK4_sg217	DKK4	10631/10603	10258/10551	10617	10404	-0.029209	21716	34383	1.1477	0.12554	0.87446	0.25109	0.99897	False
SHANK1_sg787	SHANK1	10228/10193	10056/9949.3	10211	10003	-0.029655	3160.5	33065	1.1425	0.12661	0.87339	0.25323	0.99897	False
TRRAP_sg876	TRRAP	19894/19840	19596/19560	19867	19578	-0.021126	1075.2	64337	1.1387	0.12742	0.87258	0.25485	0.99897	False
MYO15_sg573	MYO15	9750.9/9713.8	9571.5/9492.7	9732.4	9532.1	-0.029998	1897.6	31517	1.1283	0.12961	0.87039	0.25921	0.99897	False
FEZF2_sg348	FEZF2	12693/12797	12900/13048	12745	12974	0.025673	8193.9	41274	1.1265	0.87002	0.12998	0.25996	0.99897	True
PPY_sg667	PPY	12287/12575	12218/12193	12431	12205	-0.026427	20849	40256	1.1247	0.13036	0.86964	0.26072	0.99897	False
SULT1E1_sg814	SULT1E1	7226.6/7048.4	7268.8/7347.3	7137.5	7308	0.034058	9471.8	23114	1.1216	0.86899	0.13101	0.26201	0.99897	True
FADS1_sg332	FADS1	12785/12925	13089/13078	12855	13083	0.025377	4893.4	41629	1.1181	0.86824	0.13176	0.26351	0.99897	True
SHANK1_sg789	SHANK1	13378/13399	13737/13505	13389	13621	0.024851	13634	43357	1.1172	0.86805	0.13195	0.26389	0.99897	True
SATB2_sg761	SATB2	9807.9/10000	9654.1/9754.8	9904.2	9704.5	-0.029382	11803	32073	1.115	0.13242	0.86758	0.26485	0.99897	False
DUSP14_sg235	DUSP14	16240/16449	16154/16022	16344	16088	-0.02281	15339	52929	1.1145	0.13254	0.86746	0.26508	0.99897	False
HOXC8_sg453	HOXC8	13192/12809	13231/13227	13001	13229	0.02511	36718	42101	1.1125	0.86704	0.13296	0.26591	0.99897	True
FOXN1_sg362	FOXN1	8532.4/8377.7	8713.9/8564.2	8455	8639	0.031055	11592	27381	1.1119	0.86692	0.13308	0.26617	0.99897	True
NonTarg_3	Control	16304/15860	16401/16271	16082	16336	0.0226	53505	52555	1.1076	0.86599	0.13401	0.26802	0.99897	True
SHANK1_sg785	SHANK1	10374/10669	10755/10696	10521	10726	0.027739	22536	34072	1.1067	0.86578	0.13422	0.26844	0.99897	True
TCL1_sg833	TCL1	21313/21563	21295/21002	21438	21148	-0.019651	37076	69425	1.1008	0.13549	0.86451	0.27099	0.99897	False
PSMC1_sg705	PSMC1	11495/11455	11511/10941	11475	11226	-0.03163	81695	52006	1.0913	0.13757	0.86243	0.27514	0.99897	False
ULBP1_sg885	ULBP1	35007/35502	35933/35346	35255	35639	0.015655	1.4745e+05	1.2526e+05	1.0869	0.86145	0.13855	0.2771	0.99897	True
SULT1E1_sg820	SULT1E1	16047/16454	16721/16317	16250	16519	0.023665	82429	62559	1.0746	0.85871	0.14129	0.28257	0.99897	True
FADS1_sg335	FADS1	11123/11367	11496/11403	11245	11450	0.02602	17090	36416	1.0726	0.85826	0.14174	0.28347	0.99897	True
SALL4_sg751	SALL4	15597/15684	15317/15483	15641	15400	-0.022378	8821.7	50650	1.0697	0.14237	0.85763	0.28475	0.99897	False
SULT1E1_sg811	SULT1E1	17321/17449	17041/17222	17385	17132	-0.021199	12318	56300	1.0688	0.14257	0.85743	0.28514	0.99897	False
ANXA7_sg025	ANXA7	8460.7/8615.9	8714.9/8717.1	8538.3	8716	0.029716	6017.8	27650	1.0687	0.85741	0.14259	0.28519	0.99897	True
CERS5_sg156	CERS5	14072/14324	13687/14197	14198	13942	-0.026217	81047	57668	1.0648	0.14349	0.85651	0.28698	0.99897	False
B4GALT6_sg075	B4GALT6	21262/21260	21624/21456	21261	21540	0.018833	7039.3	68850	1.0647	0.85649	0.14351	0.28702	0.99897	True
IFNG_sg479	IFNG	15334/15601	15586/15825	15467	15705	0.02204	32225	50089	1.064	0.85633	0.14367	0.28735	0.99897	True
ETV2_sg311	ETV2	10049/9905.6	10272/10064	9977.1	10168	0.027328	15925	32310	1.0615	0.85578	0.14422	0.28844	0.99897	True
HDGFL1_sg442	HDGFL1	10771/10726	10487/10615	10748	10551	-0.026804	4604.5	34807	1.0606	0.14444	0.85556	0.28888	0.99897	False
NonTarg_65	Control	9169.2/9240.5	9410.3/9364.9	9204.8	9387.6	0.028354	1783.6	29809	1.0583	0.85504	0.14496	0.28992	0.99897	True
FOXN1_sg368	FOXN1	19427/20058	19840/20286	19743	20063	0.023234	1.492e+05	92357	1.0547	0.85423	0.14577	0.29154	0.99897	True
B4GALT6_sg072	B4GALT6	9488.1/9239.5	9563.4/9530.9	9363.8	9547.2	0.027978	15720	30323	1.0531	0.85385	0.14615	0.29229	0.99897	True
BCR_sg097	BCR	9455.9/9107	9356.9/9600.8	9281.5	9478.8	0.03035	45313	35142	1.0527	0.85376	0.14624	0.29248	0.99897	True
INSRR_sg498	INSRR	24394/24215	24725/24474	24305	24600	0.017408	23719	78707	1.0517	0.85353	0.14647	0.29294	0.99897	True
NonTarg_73	Control	21700/21535	21135/21544	21617	21339	-0.018663	48515	70005	1.0502	0.14682	0.85318	0.29365	0.99897	False
MDFI_sg548	MDFI	13664/13889	13607/13504	13777	13556	-0.023319	15405	44614	1.0458	0.14782	0.85218	0.29564	0.99897	False
NonTarg_74	Control	21322/21254	21623/21502	21288	21563	0.018479	4818.8	68939	1.0452	0.85205	0.14795	0.29591	0.99897	True
IFNG_sg474	IFNG	10552/10432	10142/10461	10492	10301	-0.026515	28975	33978	1.0367	0.14994	0.85006	0.29989	0.99897	False
