gene	condition	intervention	replicate	gene_conditions	gamma	beta	l	readout
PSMC5	C1	S6	R0	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6549151838754388
PSMC5	C1	S6	R1	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5481145173109305
PSMC5	C1	S6	R2	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6398451924459954
PSMC5	C1	S6	R3	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6420732589845743
PSMC5	C1	S6	R4	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6406700730486827
PSMC5	C1	S7	R0	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7416471639204324
PSMC5	C1	S7	R1	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5847195315874743
PSMC5	C1	S7	R2	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5139840924504527
PSMC5	C1	S7	R3	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5924394375211081
PSMC5	C1	S7	R4	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5798291220844128
PSMC5	C1	S8	R0	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.75604815542272
PSMC5	C1	S8	R1	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7550987258181937
PSMC5	C1	S8	R2	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.8124076059600851
PSMC5	C1	S8	R3	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5450946964480575
PSMC5	C1	S8	R4	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.693737990291638
PSMC5	C1	S9	R0	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5283356092828025
PSMC5	C1	S9	R1	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7465111717995813
PSMC5	C1	S9	R2	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7120709018137592
PSMC5	C1	S9	R3	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6587774948117754
PSMC5	C1	S9	R4	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.57617499666495
PSMB1	C0	S10	R0	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1668316566485848
PSMB1	C0	S10	R1	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1517942007277637
PSMB1	C0	S10	R2	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1712539194979739
PSMB1	C0	S10	R3	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1551879042009394
PSMB1	C0	S10	R4	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.28455367801701
PSMB1	C0	S11	R0	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1648139661312076
PSMB1	C0	S11	R1	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.191564575579682
PSMB1	C0	S11	R2	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.17858912431712
PSMB1	C0	S11	R3	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1236730206348704
PSMB1	C0	S11	R4	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.240974490329424
PSMB1	C0	S12	R0	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1813574789689985
PSMB1	C0	S12	R1	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.2026428645058858
PSMB1	C0	S12	R2	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1311764757310492
PSMB1	C0	S12	R3	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.0944296111269765
PSMB1	C0	S12	R4	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.2684492024659044
PSMB1	C0	S13	R0	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1143156331182738
PSMB1	C0	S13	R1	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-0.9663283442066519
PSMB1	C0	S13	R2	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.3200223688117978
PSMB1	C0	S13	R3	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.2559238657600469
PSMB1	C0	S13	R4	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.2609644362129524
PSMB1	C0	S14	R0	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.2008164483828645
PSMB1	C0	S14	R1	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.0106217676331353
PSMB1	C0	S14	R2	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1715714085938178
PSMB1	C0	S14	R3	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.242376035757258
PSMB1	C0	S14	R4	PSMB1-C0	-1.0611756413650075	-0.11173103486352778	0.0	-1.1107263257979783
PSMB1	C1	S15	R0	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.097714524690383
PSMB1	C1	S15	R1	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9253928553811048
PSMB1	C1	S15	R2	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.0072073675588973
PSMB1	C1	S15	R3	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.8988561319462715
PSMB1	C1	S15	R4	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1038684958986003
PSMB1	C1	S16	R0	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.7346483603460953
PSMB1	C1	S16	R1	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9552756090799526
PSMB1	C1	S16	R2	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9722760563246283
PSMB1	C1	S16	R3	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.0428529163440647
PSMB1	C1	S16	R4	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.110293783496741
PSMB1	C1	S17	R0	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1245109393456574
PSMB1	C1	S17	R1	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.0513318041933573
PSMB1	C1	S17	R2	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1174610501326112
PSMB1	C1	S17	R3	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.0094665003584562
PSMB1	C1	S17	R4	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1203438147680305
PSMB1	C1	S18	R0	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9756258014993975
PSMB1	C1	S18	R1	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9421219011708287
PSMB1	C1	S18	R2	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1083181223235268
PSMB1	C1	S18	R3	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.918465464807829
PSMB1	C1	S18	R4	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.0615282651585165
PSMB1	C1	S19	R0	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9222052829744758
PSMB1	C1	S19	R1	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9939174368541746
PSMB1	C1	S19	R2	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-0.9255012394175891
PSMB1	C1	S19	R3	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.1374360511362667
PSMB1	C1	S19	R4	PSMB1-C1	-1.0611756413650075	0.023441569781709217	0.0	-1.048413470261221
PSMC3	C0	S20	R0	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-0.9268578044034135
PSMC3	C0	S20	R1	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1338044152306648
PSMC3	C0	S20	R2	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.2757208530305866
PSMC3	C0	S20	R3	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.2662596486101525
PSMC3	C0	S20	R4	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.322644795730113
PSMC3	C0	S21	R0	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.2834171226541895
PSMC3	C0	S21	R1	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1131646467813552
PSMC3	C0	S21	R2	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-0.9441479221783348
PSMC3	C0	S21	R3	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1162236584138243
PSMC3	C0	S21	R4	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0396479951023638
PSMC3	C0	S22	R0	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0829998794788678
PSMC3	C0	S22	R1	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0711458359189046
PSMC3	C0	S22	R2	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0888206144369785
PSMC3	C0	S22	R3	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.089418764893306
PSMC3	C0	S22	R4	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0258843204648052
PSMC3	C0	S23	R0	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1895989976066386
PSMC3	C0	S23	R1	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-0.9709880127290346
PSMC3	C0	S23	R2	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-0.9799989371377307
PSMC3	C0	S23	R3	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0915064645500971
PSMC3	C0	S23	R4	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-0.9914613880392888
PSMC3	C0	S24	R0	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1421351730882248
PSMC3	C0	S24	R1	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1257230328500407
PSMC3	C0	S24	R2	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0563743454354986
PSMC3	C0	S24	R3	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.0910228329709932
PSMC3	C0	S24	R4	PSMC3-C0	-1.0528171752263455	-0.019183555236161495	0.0	-1.1168745337296693
PSMC3	C1	S25	R0	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.208824875513489
PSMC3	C1	S25	R1	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1973295438134335
PSMC3	C1	S25	R2	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0476631972151804
PSMC3	C1	S25	R3	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.3359124122016646
PSMC3	C1	S25	R4	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1063306351978959
PSMC3	C1	S26	R0	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1652237668161278
PSMC3	C1	S26	R1	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0687987216348644
PSMC3	C1	S26	R2	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0900727102708927
PSMC3	C1	S26	R3	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.4198335184001216
PSMC3	C1	S26	R4	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0831154105870866
PSMC3	C1	S27	R0	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.109152647289987
PSMC3	C1	S27	R1	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.139393787972174
PSMC3	C1	S27	R2	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1884474532626184
PSMC3	C1	S27	R3	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.056251949439267
PSMC3	C1	S27	R4	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1828830026059325
PSMC3	C1	S28	R0	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-0.9581083089698605
PSMC3	C1	S28	R1	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0851417860853978
PSMC3	C1	S28	R2	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-0.927797264890881
PSMC3	C1	S28	R3	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.2201334713268528
PSMC3	C1	S28	R4	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.3171726356581144
PSMC3	C1	S29	R0	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0701011118862476
PSMC3	C1	S29	R1	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.0563096654623005
PSMC3	C1	S29	R2	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.1380440619293535
PSMC3	C1	S29	R3	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.2954593962092935
PSMC3	C1	S29	R4	PSMC3-C1	-1.0528171752263455	-0.08876289640848363	0.0	-1.186369590106441
POLR3K	C0	S30	R0	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1126229219072654
POLR3K	C0	S30	R1	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1928391078646734
POLR3K	C0	S30	R2	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1860199938465386
POLR3K	C0	S30	R3	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1919673721654742
POLR3K	C0	S30	R4	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.2678129408619492
POLR3K	C0	S31	R0	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.227723507907659
POLR3K	C0	S31	R1	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.3170770173513522
POLR3K	C0	S31	R2	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-0.9976254804681963
POLR3K	C0	S31	R3	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.2219587628130972
POLR3K	C0	S31	R4	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1266604571175431
POLR3K	C0	S32	R0	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.27661006976343
POLR3K	C0	S32	R1	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.0949686513391907
POLR3K	C0	S32	R2	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.3617375730628292
POLR3K	C0	S32	R3	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.0823599634938033
POLR3K	C0	S32	R4	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.17795826778717
POLR3K	C0	S33	R0	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-0.963360969939228
POLR3K	C0	S33	R1	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.3050748825837009
POLR3K	C0	S33	R2	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1667834272833397
POLR3K	C0	S33	R3	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1376982939109126
POLR3K	C0	S33	R4	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.0511315560616752
POLR3K	C0	S34	R0	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.2167071714383766
POLR3K	C0	S34	R1	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1657750346468703
POLR3K	C0	S34	R2	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.3886681482070358
POLR3K	C0	S34	R3	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.2574383617015699
POLR3K	C0	S34	R4	POLR3K-C0	-1.107296862215617	-0.06712461308368191	0.0	-1.1292598802437748
POLR3K	C1	S35	R0	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9981458894771857
POLR3K	C1	S35	R1	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1367369490140684
POLR3K	C1	S35	R2	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9029277697876777
POLR3K	C1	S35	R3	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9325383994625978
POLR3K	C1	S35	R4	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1146285712849882
POLR3K	C1	S36	R0	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.3499136222248858
POLR3K	C1	S36	R1	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.2863199596881059
POLR3K	C1	S36	R2	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1863492047702484
POLR3K	C1	S36	R3	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9969792113150902
POLR3K	C1	S36	R4	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.0775360933291303
POLR3K	C1	S37	R0	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.3179881037297883
POLR3K	C1	S37	R1	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1314399049945234
POLR3K	C1	S37	R2	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9472271846511955
POLR3K	C1	S37	R3	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1460437908377723
POLR3K	C1	S37	R4	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1835602838350736
POLR3K	C1	S38	R0	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9031009118556955
POLR3K	C1	S38	R1	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1032223684276723
POLR3K	C1	S38	R2	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1564790319861151
POLR3K	C1	S38	R3	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.0735466062246792
POLR3K	C1	S38	R4	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1068468494700983
POLR3K	C1	S39	R0	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1514775499310164
POLR3K	C1	S39	R1	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9877176892523107
POLR3K	C1	S39	R2	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-0.9969931418290584
POLR3K	C1	S39	R3	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.0244771662933967
POLR3K	C1	S39	R4	POLR3K-C1	-1.107296862215617	-0.0012664598918901361	0.0	-1.1188520438648608
POLR2C	C0	S40	R0	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.8674864694395438
POLR2C	C0	S40	R1	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.9871467649953597
POLR2C	C0	S40	R2	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.935512180356608
POLR2C	C0	S40	R3	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.878807820285542
POLR2C	C0	S40	R4	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.9012920710529239
POLR2C	C0	S41	R0	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.803201038758865
POLR2C	C0	S41	R1	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.937048105475475
POLR2C	C0	S41	R2	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.150582505666316
POLR2C	C0	S41	R3	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0981935175777198
POLR2C	C0	S41	R4	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.8471658252113194
POLR2C	C0	S42	R0	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.015304824072755
POLR2C	C0	S42	R1	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.943522592566183
POLR2C	C0	S42	R2	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0673220727325747
POLR2C	C0	S42	R3	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.882088364711462
POLR2C	C0	S42	R4	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.020659731962771
POLR2C	C0	S43	R0	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.8363656832185401
POLR2C	C0	S43	R1	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0353999091693098
POLR2C	C0	S43	R2	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.8703631674077226
POLR2C	C0	S43	R3	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.9147368965974052
POLR2C	C0	S43	R4	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0544156976209071
POLR2C	C0	S44	R0	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.8722768738047741
POLR2C	C0	S44	R1	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0723399561270919
POLR2C	C0	S44	R2	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0644232259699173
POLR2C	C0	S44	R3	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-0.9100053778682229
POLR2C	C0	S44	R4	POLR2C-C0	-0.9134592370675322	-0.06871727001195994	0.0	-1.0447107072260908
POLR2C	C1	S45	R0	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.057364107942855
POLR2C	C1	S45	R1	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0323698721384433
POLR2C	C1	S45	R2	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0979967202046557
POLR2C	C1	S45	R3	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.8934803602500144
POLR2C	C1	S45	R4	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.9371283313689192
POLR2C	C1	S46	R0	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0049126708864524
POLR2C	C1	S46	R1	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.008819007934758
POLR2C	C1	S46	R2	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.9529642499406863
POLR2C	C1	S46	R3	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.821446291165497
POLR2C	C1	S46	R4	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.9108828209641799
POLR2C	C1	S47	R0	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0488255146449443
POLR2C	C1	S47	R1	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.9202378806925179
POLR2C	C1	S47	R2	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.009856918427713
POLR2C	C1	S47	R3	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0178796195977766
POLR2C	C1	S47	R4	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-0.8113326637021916
POLR2C	C1	S48	R0	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0398735909852164
POLR2C	C1	S48	R1	POLR2C-C1	-0.9134592370675322	-0.08452056414987197	0.0	-1.0458982927301448
